Company Name,Company Type,Impact Alpha,Total Return,GHG_Revenue,Women_Empls_Mgmt_Ratio,Women_Employees_Percentage,Employee_Turnover_Percentage,Employee_Unionized_Percentage,Lost_Time_Incident_Rate,Independent_Director_Percentage,Percenta_Board_Members_Woman,Director_Avg_Age,Director_Meeting_Attd,Board_Size,Total Return
Pfizer Inc,Large Cap Pharma,0.391,2.5,0.155941757,0.314606742,0.204498978,0.382352941,0.413165266,-0.7,0.3960217,0.363779528,0.802631579,0.042145594,0.526315789,0.004142
Novo Nordisk,Large Cap Pharma,0.4267,1,0.121418506,0.314606742,0.233128834,0.388888889,0.413165266,0.64,0.211573237,0.518110236,0.763157895,0.563218391,0.526315789,0.004822
Novartis Ag,Large Cap Pharma,0.4593,1,0.140441522,0.101123596,0.233128834,0.37254902,0.430672269,0.76,0.711573237,0.321259843,0.855263158,0.494252874,0.631578947,0.003723
Merck & Company,Large Cap Pharma,0.4128,1.9,0.149365899,0.516853933,0.118609407,0.486928105,0.413165266,0.5,0.471971067,0.525984252,0.842105263,0.042145594,0.473684211,0.005642
Astrazeneca Plc,Large Cap Pharma,0.4007,1.5,0.123767027,0.393258427,0.255623722,0.382352941,0.413165266,0.04,0.560578662,0.396850394,0.842105263,0.578544061,0.421052632,0.006714
Bristol-Myers Squibb Company,Large Cap Pharma,0.4353,1.9,0.121183654,0.292134831,0.147239264,0.382352941,0.413165266,0.64,0.464737794,0.450393701,0.815789474,0.482758621,0.578947368,0.003555
Eli Lilly and Company,Large Cap Pharma,0.4487,2.4,0.232503523,0.561797753,0.098159509,0.382352941,0.413165266,0.84,0.481916817,0.48503937,0.776315789,0.137931034,0.526315789,0.007839
Glaxosmithkline Plc,Large Cap Pharma,0.4401,2,0.155002349,0.685393258,0.102249489,0.382352941,0.413165266,0.28,0.368896926,0.628346457,0.842105263,0.614942529,0.368421053,0.004517
Johnson & Johnson,Large Cap Pharma,0.4024,2,0.114842649,0.662921348,0.077709611,0.382352941,0.350140056,0.46,0.464737794,0.450393701,0.842105263,0.042145594,0.578947368,0.005448
Acadia,Medical Biomedical,0.3923,1.8,0.127524659,0.314606742,0.204498978,0.382352941,0.413165266,0.38,0.448462929,0.325984252,0.776315789,0.521072797,0.421052632,0.003605
Achillion,Medical Biomedical,0.4222,2.07,0.127524659,0.314606742,0.204498978,0.382352941,0.413165266,0.38,0.481012658,0.450393701,0.802631579,0.509578544,0.578947368,0.001872
Acorda,Medical Biomedical,0.4277,3.1,0.127524659,0.314606742,0.204498978,0.382352941,0.413165266,0.38,0.49005425,0.48976378,0.855263158,0.521072797,0.526315789,0.000113
Akari,Medical Biomedical,0.4003,1.5,0.127524659,0.314606742,0.204498978,0.382352941,0.413165266,0.38,0.464737794,0.450393701,0.828947368,0.521072797,0.315789474,0.00067
